Source,Target,Weight,Abs_Weight,RAG_Prompt
CNV_LINC02576,CNV_CEP68,1.0,1.0,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=1.00) between CNV of LINC02576 and CNV of CEP68. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'."
CNV_VPS54,CNV_CEP68,0.9962330071416986,0.9962330071416986,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=1.00) between CNV of VPS54 and CNV of CEP68. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'."
CNV_VPS54,CNV_LINC02576,0.9962330071416986,0.9962330071416986,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=1.00) between CNV of VPS54 and CNV of LINC02576. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'."
CNV_VPS54,CNV_WDPCP,0.9959734930946812,0.9959734930946812,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=1.00) between CNV of VPS54 and CNV of WDPCP. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'."
CNV_WDPCP,CNV_CEP68,0.995800724105394,0.995800724105394,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=1.00) between CNV of WDPCP and CNV of CEP68. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'."
CNV_LINC02576,CNV_WDPCP,0.995800724105394,0.995800724105394,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=1.00) between CNV of LINC02576 and CNV of WDPCP. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'."
CNV_LINC01867,CNV_CEP68,0.953776889045042,0.953776889045042,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.95) between CNV of LINC01867 and CNV of CEP68. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'."
CNV_LINC01867,CNV_LINC02576,0.953776889045042,0.953776889045042,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.95) between CNV of LINC01867 and CNV of LINC02576. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'."
CNV_LINC01867,CNV_WDPCP,0.9536426841998868,0.9536426841998868,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.95) between CNV of LINC01867 and CNV of WDPCP. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'."
CNV_VPS54,CNV_LINC01867,0.9533878467448264,0.9533878467448264,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.95) between CNV of VPS54 and CNV of LINC01867. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'."
Methylation_cg22678977,Methylation_cg11197206,0.8824269353588372,0.8824269353588372,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.88) between CpG site cg22678977 (associated with gene LRRC6) and CpG site cg11197206. Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'."
Methylation_cg22678977,Methylation_cg03103549,0.8814553087396394,0.8814553087396394,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.88) between CpG site cg22678977 (associated with gene LRRC6) and CpG site cg03103549 (associated with gene CRNKL1). Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'."
Methylation_cg11197206,Methylation_cg03103549,0.8806431744339995,0.8806431744339995,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.88) between CpG site cg11197206 and CpG site cg03103549 (associated with gene CRNKL1). Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'."
Methylation_cg11197206,Methylation_cg22789237,0.8781703151400576,0.8781703151400576,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.88) between CpG site cg11197206 and CpG site cg22789237 (associated with gene SIPA1L2). Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'."
Methylation_cg03103549,Methylation_cg25787812,0.8696767077276124,0.8696767077276124,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.87) between CpG site cg03103549 (associated with gene CRNKL1) and CpG site cg25787812 (associated with gene MICB). Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'."
Methylation_cg22789237,Methylation_cg03103549,0.8693709736580822,0.8693709736580822,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.87) between CpG site cg22789237 (associated with gene SIPA1L2) and CpG site cg03103549 (associated with gene CRNKL1). Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'."
Methylation_cg22678977,Methylation_cg20456954,0.8692939677998617,0.8692939677998617,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.87) between CpG site cg22678977 (associated with gene LRRC6) and CpG site cg20456954 (associated with gene ARFGEF1). Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'."
Methylation_cg22789237,Methylation_cg25787812,0.86108840392195,0.86108840392195,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.86) between CpG site cg22789237 (associated with gene SIPA1L2) and CpG site cg25787812 (associated with gene MICB). Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'."
Methylation_cg22678977,Methylation_cg22789237,0.8510529796662389,0.8510529796662389,"Context: Breast Cancer multi-omics analysis. Data: Strong positive correlation (r=0.85) between CpG site cg22678977 (associated with gene LRRC6) and CpG site cg22789237 (associated with gene SIPA1L2). Task: Search biomedical literature for any evidence supporting a functional link between these specific entities. Constraint 1: If the specific ID (e.g., cg number) is found, Cite it. Constraint 2: If only the gene-level mechanism is found (e.g. methylation of the gene), that is acceptable. Constraint 3: Output ONE concise declarative sentence describing the mechanism followed by [PMID: ...]. If absolutely no evidence exists, output 'No evidence found'."
